record	partRole	gestureID	stage	gStartTime	gEndTime	gDuration	lenType	handedness	gFunction	isBeat	isPragmatic	isDepictive	isPointing	eduID	eStartTime	eEndTime	eDuration	maxIntersection	P	R	HM	sDifference	sCoord0	eCoord0	sCoord50	eCoord50	sCoord100	eCoord100	sCoord200	eCoord200
4	N	N-mGe014	1st_telling	9760	10850	1090	medium	Lt	Beat	1	0	0	0	N-vE008	10004	10875	871	846	0,7761	0,9713	0,862825089	-244	A	A	A	S	A	S	A	S
4	N	N-mGe015	1st_telling	10850	12280	1430	long	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE009	12012	14403	2391	268	0,1874	0,1121	0,140277415	-1162	A	A	A	A	A	A	A	A
4	N	N-mGe016	1st_telling	12280	13220	940	medium	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE009	12012	14403	2391	940	1	0,3931	0,564395077	268	D	A	D	A	D	A	D	A
4	N	N-mGe017	1st_telling	13220	14000	780	medium	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE009	12012	14403	2391	780	1	0,3262	0,491958373	1208	D	A	D	A	D	A	D	A
4	N	N-mGe018	1st_telling	14000	15390	1390	long	Bh-id	Other, Pragmatic	0	1	0	0	N-vE009	12012	14403	2391	403	0,2899	0,1685	0,213171119	1988	D	D	D	D	D	D	D	D
4	N	N-mGe019	1st_telling	15390	16610	1220	long	Bh-id	Other, Pragmatic	0	1	0	0	N-vE010	17389	18622	1233	-779	-0,6385	-0,6318	-0,635140644	-1999	A	A	A	A	A	A	A	A
4	N	N-mGe020	1st_telling	16610	17580	970	medium	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE010	17389	18622	1233	191	0,1969	0,1549	0,173399909	-779	A	A	A	A	A	A	A	A
4	N	N-mGe021	1st_telling	17580	18030	450	short	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE010	17389	18622	1233	450	1	0,365	0,534759359	191	D	A	D	A	D	A	S	A
4	N	N-mGe022	1st_telling	18030	18680	650	medium	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE010	17389	18622	1233	592	0,9108	0,4801	0,628783856	641	D	D	D	D	D	S	D	S
4	N	N-mGe023	1st_telling	18680	19390	710	medium	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE011	18622	19512	890	710	1	0,7978	0,8875	58	D	A	D	A	S	A	S	S
4	N	N-mGe024	1st_telling	19390	19940	550	short	Bh-sym	Beat, Pragmatic	1	1	0	0	N-vE012	19512	20622	1110	428	0,7782	0,3856	0,515662651	-122	A	A	A	A	A	A	S	A
4	N	N-mGe025	1st_telling	19940	20920	980	medium	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE012	19512	20622	1110	682	0,6959	0,6144	0,652631579	428	D	D	D	D	D	D	D	D
4	N	N-mGe026	1st_telling	20920	21330	410	short	Bh-sym	Other, Pragmatic	0	1	0	0	N-vE013	21182	22697	1515	148	0,361	0,0977	0,153766234	-262	A	A	A	A	A	A	A	A
4	N	N-mGe027	1st_telling	21330	21760	430	short	Lt	Other, Pragmatic	0	1	0	0	N-vE013	21182	22697	1515	430	1	0,2838	0,442159383	148	D	A	D	A	D	A	S	A
